risk_id,rmf_function,rmf_category,risk_title,risk_description,ai_lifecycle_stage,likelihood,impact,risk_score,risk_level,control_owner,current_controls,gaps_and_recommendations,status,last_reviewed
RISK-001,GOVERN,GV-1.1,Absence of AI Use Policy,No formal policy exists governing when and how AI systems may be deployed across the organization,Design,4,5,20,Critical,Chief Compliance Officer,Ad hoc review by individual teams,Develop and ratify an enterprise AI acceptable use policy; define approval thresholds by risk tier,Open,2026-06-01
RISK-002,GOVERN,GV-1.2,Unclear AI Risk Ownership,Accountability for AI system outcomes is not formally assigned; no designated AI risk owner per system,Design,4,4,16,High,CISO / Privacy Office,General product ownership via engineering leads,Require a named AI System Owner for each deployed model; document in system inventory,Open,2026-06-01
RISK-003,GOVERN,GV-2.2,Insufficient AI Ethics Training,Staff involved in AI development and procurement lack formal training on algorithmic fairness and ethical AI,Development,3,4,12,High,HR / Learning & Development,Annual security awareness training (not AI-specific),Add AI ethics module to onboarding and annual training curriculum; track completion rates,In Progress,2026-06-01
RISK-004,GOVERN,GV-4.1,No Cross-functional AI Review Board,Decisions about AI deployment are siloed within product teams without legal privacy or compliance input,Design,4,4,16,High,Chief Compliance Officer,Informal legal review on high-profile launches only,Establish an AI Review Board with rotating representation from Legal Privacy Engineering and Compliance,Open,2026-06-15
RISK-005,GOVERN,GV-5.1,Third-party AI Vendor Gaps,Vendor contracts do not require disclosure of AI model changes or performance degradation over time,Deployment,3,4,12,High,Procurement / Legal,Standard vendor security questionnaire (not AI-specific),Develop AI-specific vendor addendum covering model versioning transparency and incident notification,Open,2026-06-15
RISK-006,MAP,MP-1.1,Incomplete AI System Inventory,The organization lacks a centralized inventory of all AI and ML systems in production,Deployment,4,5,20,Critical,IT / Compliance,Partial asset inventory maintained by Engineering,Conduct an AI system discovery exercise; build and maintain a living AI inventory with risk tier classification,Open,2026-06-01
RISK-007,MAP,MP-2.3,Misclassified AI Risk Tiers,AI systems are not consistently tiered by potential harm level leading to over- or under-resourcing of controls,Design,3,4,12,High,Risk Management,No formal tiering methodology in place,Adopt a risk tiering rubric (e.g. based on autonomy data sensitivity and decision impact); apply retroactively to existing systems,In Progress,2026-06-15
RISK-008,MAP,MP-3.4,Unidentified Proxies for Protected Attributes,Models may use features that are statistical proxies for race gender or other protected characteristics without explicit review,Development,3,5,15,High,ML Engineering / Privacy,No systematic proxy variable review in model development lifecycle,Require proxy variable analysis as a pre-launch gate; document findings in model cards,Open,2026-06-15
RISK-009,MAP,MP-4.1,Inadequate Impact Assessment Process,No structured process for assessing downstream societal or individual harm before AI system launch,Design,4,4,16,High,Privacy / Legal,Privacy Impact Assessments (PIAs) for some systems (not all),Extend PIA process to cover AI-specific harm dimensions; require AI Impact Assessment for all Tier 1 and Tier 2 systems,In Progress,2026-06-01
RISK-010,MAP,MP-5.2,Insufficient Adversarial Testing,AI systems are not systematically tested for adversarial inputs prompt injection or model evasion prior to deployment,Development,3,5,15,High,Security Engineering,Functional QA testing only; no red-teaming,Integrate adversarial ML testing and red-teaming into pre-launch security review; document results,Open,2026-06-15
RISK-011,MEASURE,MS-1.1,No Baseline Performance Metrics,AI systems lack documented baseline performance metrics making degradation detection impossible,Deployment,4,4,16,High,ML Engineering,Informal monitoring by owning team,Define and document baseline accuracy fairness and reliability metrics per system at launch; store in model registry,In Progress,2026-06-01
RISK-012,MEASURE,MS-2.5,Fairness Metrics Not Tracked in Production,Model performance is not disaggregated by demographic subgroup in production monitoring,Operation,3,5,15,High,ML Engineering / Privacy,Aggregate performance metrics tracked,Implement disaggregated monitoring dashboards; define fairness thresholds and alert on breach,Open,2026-06-15
RISK-013,MEASURE,MS-2.6,Model Drift Not Detected,No automated process exists to detect statistical drift in model inputs or outputs over time,Operation,4,4,16,High,ML Engineering / Platform,Manual periodic reviews by owning team,Deploy automated drift detection with alerting; define drift thresholds per model tier,Open,2026-06-15
RISK-014,MEASURE,MS-3.1,Lack of Independent Model Review,AI models are reviewed only by the teams that built them with no independent technical or ethical review,Development,3,4,12,High,Risk Management / ML Engineering,Peer code review within team,Establish independent model review process for Tier 1 systems; engage external auditors annually,Open,2026-06-30
RISK-015,MEASURE,MS-4.2,No User Feedback Loop for AI Decisions,Users affected by AI-driven decisions have no structured mechanism to flag errors or request review,Operation,3,4,12,High,Product / Compliance,General customer support channel,Build AI-specific feedback and dispute mechanism; route to model owner for root cause analysis,In Progress,2026-06-15
RISK-016,MANAGE,MG-1.1,AI Incidents Not Classified or Tracked,No incident classification framework distinguishes AI-related failures from general system incidents,Operation,4,4,16,High,Security / Compliance,General incident response process,Define AI incident taxonomy; integrate AI incident tracking into existing IRM tooling,Open,2026-06-01
RISK-017,MANAGE,MG-2.2,No AI-specific Incident Response Plan,Existing incident response playbooks do not address AI-specific failure modes such as model poisoning or hallucination cascades,Operation,3,5,15,High,CISO / Compliance,General IRP applies by default,Develop AI incident response playbook covering model failure modes bias incidents and data poisoning; table-top test annually,Open,2026-06-15
RISK-018,MANAGE,MG-3.1,No Rollback Capability for AI Models,Once a model is deployed there is no documented process to roll back to a prior version in response to an incident,Deployment,3,5,15,High,ML Engineering / Platform,Manual re-deployment possible but undocumented,Implement model versioning with documented rollback procedures; test rollback capability quarterly,Open,2026-06-30
RISK-019,MANAGE,MG-4.1,Decommissioning Process Undefined,No formal process governs the decommissioning of AI systems including data retention model deletion and downstream impact,Decommission,3,4,12,High,Legal / Engineering,Ad hoc system retirement by owning team,Define an AI system decommissioning checklist; integrate with data retention policy,Open,2026-06-30
RISK-020,MANAGE,MG-4.2,Residual Risk Not Documented,Accepted residual risks for AI systems are not formally documented or signed off by an authorized risk owner,Operation,3,4,12,High,Risk Management,No formal residual risk sign-off process,Require documented residual risk acceptance for all Tier 1 systems; retain in risk register,In Progress,2026-06-15
