control_id,hipaa_rule,cfr_reference,safeguard_category,control_title,control_description,required_or_addressable
SR-001,Security Rule,§164.308(a)(1),Administrative,Security Management Process,Implement policies and procedures to prevent detect contain and correct security violations including a risk analysis and risk management program.,Required
SR-002,Security Rule,§164.308(a)(1)(ii)(A),Administrative,Risk Analysis,Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality integrity and availability of ePHI.,Required
SR-003,Security Rule,§164.308(a)(1)(ii)(B),Administrative,Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level.,Required
SR-004,Security Rule,§164.308(a)(1)(ii)(C),Administrative,Sanction Policy,Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures.,Required
SR-005,Security Rule,§164.308(a)(1)(ii)(D),Administrative,Information System Activity Review,Implement procedures to regularly review records of information system activity such as audit logs access reports and security incident tracking.,Required
SR-006,Security Rule,§164.308(a)(2),Administrative,Assigned Security Responsibility,Identify the security official who is responsible for the development and implementation of the policies and procedures.,Required
SR-007,Security Rule,§164.308(a)(3),Administrative,Workforce Security,Implement policies and procedures to ensure that all members of the workforce have appropriate access to ePHI and to prevent those who do not have access from obtaining access.,Required
SR-008,Security Rule,§164.308(a)(3)(ii)(A),Administrative,Authorization and Supervision,Implement procedures for the authorization and supervision of workforce members who work with ePHI.,Addressable
SR-009,Security Rule,§164.308(a)(3)(ii)(B),Administrative,Workforce Clearance Procedure,Implement procedures to determine that the access of a workforce member to ePHI is appropriate.,Addressable
SR-010,Security Rule,§164.308(a)(3)(ii)(C),Administrative,Termination Procedures,Implement procedures for terminating access to ePHI when the employment of a workforce member ends.,Addressable
SR-011,Security Rule,§164.308(a)(4),Administrative,Information Access Management,Implement policies and procedures for authorizing access to ePHI that are consistent with applicable requirements.,Required
SR-012,Security Rule,§164.308(a)(4)(ii)(B),Administrative,Access Authorization,Implement policies and procedures for granting access to ePHI including a process for making access decisions.,Addressable
SR-013,Security Rule,§164.308(a)(4)(ii)(C),Administrative,Access Establishment and Modification,Implement policies and procedures to establish document review and modify a user's right of access to a workstation transaction or program.,Addressable
SR-014,Security Rule,§164.308(a)(5),Administrative,Security Awareness and Training,Implement a security awareness and training program for all members of the workforce including management.,Required
SR-015,Security Rule,§164.308(a)(5)(ii)(A),Administrative,Security Reminders,Periodic security updates to workforce members.,Addressable
SR-016,Security Rule,§164.308(a)(5)(ii)(B),Administrative,Protection from Malicious Software,Procedures for guarding against malicious software.,Addressable
SR-017,Security Rule,§164.308(a)(5)(ii)(C),Administrative,Log-in Monitoring,Procedures for monitoring log-in attempts and reporting discrepancies.,Addressable
SR-018,Security Rule,§164.308(a)(5)(ii)(D),Administrative,Password Management,Procedures for creating changing and safeguarding passwords.,Addressable
SR-019,Security Rule,§164.308(a)(6),Administrative,Security Incident Procedures,Implement policies and procedures to address security incidents including a process to identify and respond to suspected or known security incidents.,Required
SR-020,Security Rule,§164.308(a)(7),Administrative,Contingency Plan,Establish and implement policies and procedures for responding to an emergency that damages systems containing ePHI.,Required
SR-021,Security Rule,§164.308(a)(7)(ii)(A),Administrative,Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of ePHI.,Required
SR-022,Security Rule,§164.308(a)(7)(ii)(B),Administrative,Disaster Recovery Plan,Establish and implement procedures to restore any loss of data.,Required
SR-023,Security Rule,§164.308(a)(7)(ii)(C),Administrative,Emergency Mode Operation Plan,Establish and implement procedures to enable continuation of critical business processes for protection of ePHI while operating in emergency mode.,Required
SR-024,Security Rule,§164.308(a)(8),Administrative,Evaluation,Perform a periodic technical and nontechnical evaluation of the extent to which security policies and procedures meet the requirements of the Security Rule.,Required
SR-025,Security Rule,§164.308(b)(1),Administrative,Business Associate Contracts,Obtain satisfactory assurances from business associates that they will appropriately safeguard ePHI.,Required
SR-026,Security Rule,§164.310(a)(1),Physical,Facility Access Controls,Implement policies and procedures to limit physical access to electronic information systems and the facilities in which they are housed.,Required
SR-027,Security Rule,§164.310(a)(2)(i),Physical,Contingency Operations,Establish and implement procedures that allow facility access in support of restoration of lost data under a disaster recovery plan.,Addressable
SR-028,Security Rule,§164.310(a)(2)(ii),Physical,Facility Security Plan,Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized physical access tampering and theft.,Addressable
SR-029,Security Rule,§164.310(b),Physical,Workstation Use,Implement policies and procedures that specify the proper functions to be performed the manner in which those functions are to be performed and the physical attributes of the surroundings of workstations.,Required
SR-030,Security Rule,§164.310(c),Physical,Workstation Security,Implement physical safeguards for all workstations that access ePHI to restrict access to authorized users.,Required
SR-031,Security Rule,§164.310(d)(1),Physical,Device and Media Controls,Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain ePHI.,Required
SR-032,Security Rule,§164.310(d)(2)(i),Physical,Disposal,Implement policies and procedures to address the final disposition of ePHI and the hardware or electronic media on which it is stored.,Required
SR-033,Security Rule,§164.312(a)(1),Technical,Access Control,Implement technical policies and procedures for electronic information systems that maintain ePHI to allow access only to authorized persons or software programs.,Required
SR-034,Security Rule,§164.312(a)(2)(i),Technical,Unique User Identification,Assign a unique name and number for identifying and tracking user identity.,Required
SR-035,Security Rule,§164.312(a)(2)(ii),Technical,Emergency Access Procedure,Establish and implement as needed procedures for obtaining necessary ePHI during an emergency.,Required
SR-036,Security Rule,§164.312(a)(2)(iii),Technical,Automatic Logoff,Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,Addressable
SR-037,Security Rule,§164.312(a)(2)(iv),Technical,Encryption and Decryption,Implement a mechanism to encrypt and decrypt ePHI.,Addressable
SR-038,Security Rule,§164.312(b),Technical,Audit Controls,Implement hardware software and procedural mechanisms that record and examine activity in information systems that contain or use ePHI.,Required
SR-039,Security Rule,§164.312(c)(1),Technical,Integrity Controls,Implement policies and procedures to protect ePHI from improper alteration or destruction.,Required
SR-040,Security Rule,§164.312(d),Technical,Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to ePHI is the one claimed.,Required
SR-041,Security Rule,§164.312(e)(1),Technical,Transmission Security,Implement technical security measures to guard against unauthorized access to ePHI that is being transmitted over an electronic communications network.,Required
SR-042,Security Rule,§164.312(e)(2)(ii),Technical,Encryption of ePHI in Transit,Implement a mechanism to encrypt ePHI in transit whenever deemed appropriate.,Addressable
PR-001,Privacy Rule,§164.520,Privacy,Notice of Privacy Practices,Provide individuals with a notice of the covered entity's privacy practices describing how PHI may be used and disclosed and individual rights.,Required
PR-002,Privacy Rule,§164.524,Privacy,Individual Right of Access,Provide individuals with the right to inspect and obtain a copy of their PHI maintained in a designated record set.,Required
PR-003,Privacy Rule,§164.526,Privacy,Right to Amend,Provide individuals with the right to request amendment of PHI maintained in a designated record set.,Required
PR-004,Privacy Rule,§164.528,Privacy,Accounting of Disclosures,Provide individuals with an accounting of disclosures of PHI made in the six years prior to the request.,Required
PR-005,Privacy Rule,§164.502(b),Privacy,Minimum Necessary Standard,Make reasonable efforts to use disclose and request only the minimum amount of PHI necessary to accomplish the intended purpose.,Required
PR-006,Privacy Rule,§164.514(b),Privacy,De-identification of PHI,PHI is not individually identifiable health information if it has been de-identified in accordance with HIPAA safe harbor or expert determination methods.,Required
PR-007,Privacy Rule,§164.530(b),Privacy,Workforce Training on Privacy,Train all workforce members on privacy policies and procedures as necessary and appropriate for them to carry out their functions.,Required
PR-008,Privacy Rule,§164.530(c),Privacy,Safeguards for PHI,Have in place appropriate administrative technical and physical safeguards to protect the privacy of PHI.,Required
PR-009,Privacy Rule,§164.530(d),Privacy,Complaint Process,Have in place a process for individuals to make complaints about the covered entity's privacy policies and procedures.,Required
PR-010,Privacy Rule,§164.530(e),Privacy,Sanctions for Privacy Violations,Apply appropriate sanctions against workforce members who fail to comply with the privacy policies and procedures.,Required
PR-011,Privacy Rule,§164.530(j),Privacy,Documentation of Privacy Policies,Maintain the privacy policies and procedures in written or electronic form and retain for six years from creation or last effective date.,Required
PR-012,Privacy Rule,§164.504(e),Privacy,Business Associate Agreements (Privacy),Obtain business associate agreements from all business associates that create receive maintain or transmit PHI on behalf of the covered entity.,Required
PR-013,Privacy Rule,§164.514(d),Privacy,Minimum Necessary — Policies and Procedures,Develop and implement policies and procedures to reasonably limit access to and disclosure of PHI to the minimum necessary.,Required
PR-014,Privacy Rule,§164.510,Privacy,Uses and Disclosures Requiring Opportunity to Agree or Object,Implement policies for uses and disclosures of PHI that give individuals the opportunity to agree or object including facility directories and disclosures to family members.,Required
PR-015,Privacy Rule,§164.530(a),Privacy,Designated Privacy Official,Designate a privacy official responsible for developing and implementing privacy policies and procedures.,Required
