control_id,current_status,gap_description,risk_level,remediation_priority,remediation_recommendation,evidence_available,owner,target_date
SR-001,Partially Implemented,Security management policies exist but have not been reviewed or updated in over 18 months. Risk analysis was last completed in 2023 and does not reflect current system architecture.,High,P1,Update security management policies and conduct a fresh risk analysis reflecting current ePHI systems and infrastructure. Establish annual review cadence.,Yes,CISO / Compliance,2026-09-01
SR-002,Not Implemented,No formal HIPAA-specific risk analysis has been conducted. General IT risk assessments exist but do not address ePHI confidentiality integrity and availability specifically.,Critical,P1,Conduct a HIPAA-specific risk analysis covering all systems that create receive maintain or transmit ePHI. Document threat/vulnerability pairs likelihood impact and current controls.,No,Compliance / Security,2026-08-01
SR-003,Partially Implemented,Some security controls are in place but no formal risk management plan exists that tracks identified risks to remediation with assigned owners and target dates.,High,P1,Develop a formal HIPAA risk management plan with a risk register tracking each identified risk to closure. Assign risk owners and establish quarterly review.,Yes,Compliance / Security,2026-09-01
SR-004,Implemented,Sanction policy is documented and included in the employee handbook. Policy has been acknowledged by all current staff.,Low,P3,Maintain annual re-acknowledgment process. Ensure sanction policy is updated to reflect remote work scenarios.,Yes,HR / Compliance,2026-12-01
SR-005,Partially Implemented,Audit logs are enabled on primary ePHI systems but are not reviewed on a regular schedule. No formal log review procedure exists.,High,P1,Implement a formal log review procedure with defined frequency (weekly for critical systems). Assign responsibility and document review outcomes.,Yes,Security / IT,2026-08-15
SR-006,Implemented,A designated Security Officer has been appointed with documented responsibilities. Contact information is included in the Notice of Privacy Practices.,Low,P3,Confirm Security Officer role is current and responsibilities are documented. Review annually.,Yes,Executive / CISO,2026-12-01
SR-007,Partially Implemented,Access control policies exist but do not consistently enforce least privilege. Several users have broader ePHI access than required for their roles.,High,P1,Conduct an access rights review across all ePHI systems. Remove excessive access and implement role-based access control aligned to job functions.,Yes,IT / IAM,2026-08-01
SR-008,Partially Implemented,Supervisory procedures for workforce members with ePHI access exist informally but are not documented in policy.,Medium,P2,Document formal authorization and supervision procedures for all roles with ePHI access. Include in onboarding checklist.,Yes,HR / Compliance,2026-10-01
SR-009,Partially Implemented,Workforce clearance procedures are ad hoc. Background checks are conducted for some roles but not consistently applied across all positions with ePHI access.,Medium,P2,Standardize workforce clearance procedures. Define which roles require background checks and document the determination process.,Yes,HR,2026-10-01
SR-010,Implemented,Termination procedures include same-day access revocation for ePHI systems. HR and IT maintain a shared checklist.,Low,P3,Test termination procedure quarterly with a sample of recent terminations to confirm timely execution.,Yes,HR / IT,2026-12-01
SR-011,Partially Implemented,Information access management policies exist but access provisioning is inconsistent across systems. Some systems lack formal access request workflows.,High,P1,Implement a formal access request and approval workflow for all ePHI systems. Document access decisions and retain for audit.,Yes,IT / Compliance,2026-09-01
SR-012,Partially Implemented,Access authorization decisions are made informally without documented approval. No standardized process for access approval exists.,Medium,P2,Implement a documented access authorization process requiring manager and data owner approval for all ePHI access grants.,No,IT / IAM,2026-09-01
SR-013,Not Implemented,No formal process exists for establishing modifying or revoking user access rights in a documented and auditable manner.,High,P1,Implement access lifecycle management procedures covering provisioning modification and deprovisioning with documented approvals and audit trail.,No,IT / IAM,2026-08-15
SR-014,Partially Implemented,Security awareness training is conducted annually but does not include HIPAA-specific content. Training completion is tracked but enforcement is inconsistent.,High,P1,Update annual security training to include HIPAA-specific modules covering PHI handling breach reporting and security safeguards. Enforce completion.,Yes,HR / Compliance,2026-09-01
SR-015,Partially Implemented,Security reminders are sent periodically but are not documented or scheduled.,Medium,P2,Implement a scheduled security reminder program (minimum quarterly). Document distribution and content.,No,Compliance,2026-10-01
SR-016,Implemented,Anti-malware software is deployed on all endpoints. Definitions are updated automatically. Endpoint detection and response (EDR) is in place.,Low,P3,Confirm EDR coverage extends to all systems that access ePHI. Review EDR alerts monthly.,Yes,Security / IT,2026-12-01
SR-017,Partially Implemented,Log-in monitoring is enabled on primary ePHI systems but failed login alerts are not configured or reviewed consistently.,Medium,P2,Configure automated alerting for repeated failed login attempts. Assign a reviewer and document the review process.,Yes,Security / IT,2026-10-01
SR-018,Partially Implemented,A password policy exists but does not meet current NIST guidance. Password complexity requirements are enforced but password manager adoption is low.,Medium,P2,Update password policy to align with NIST SP 800-63B. Enforce MFA as a compensating control. Promote password manager adoption.,Yes,IT / Security,2026-09-15
SR-019,Partially Implemented,An incident response procedure exists but does not specifically address ePHI breaches or HIPAA breach notification requirements.,High,P1,Update incident response plan to include a HIPAA-specific breach identification and notification workflow aligned to the Breach Notification Rule (§164.400-414).,Yes,Security / Compliance,2026-08-15
SR-020,Partially Implemented,A contingency plan exists at a high level but has not been tested. Sub-plans for data backup disaster recovery and emergency operations lack detail.,High,P1,Develop detailed sub-plans for data backup disaster recovery and emergency mode operations. Conduct an annual tabletop exercise.,Yes,IT / Compliance,2026-09-01
SR-021,Implemented,Automated daily backups of all ePHI systems are in place. Backups are encrypted and stored in a geographically separate location.,Low,P3,Conduct quarterly backup restoration tests and document results. Confirm backup scope includes all ePHI systems.,Yes,IT,2026-12-01
SR-022,Partially Implemented,A disaster recovery plan exists but RTO and RPO targets for ePHI systems are not defined. Last DR test was over 24 months ago.,High,P1,Define RTO and RPO for each ePHI system. Conduct a DR test and document results. Establish annual DR test cadence.,Yes,IT,2026-08-01
SR-023,Not Implemented,No emergency mode operation plan exists specifically for ePHI systems. Business continuity documentation does not address ePHI protection during emergency operations.,High,P1,Develop an emergency mode operation plan for ePHI systems covering critical processes data access and safeguard maintenance during emergency operations.,No,IT / Compliance,2026-09-01
SR-024,Not Implemented,No formal HIPAA Security Rule evaluation has been conducted. General IT security reviews do not assess compliance with specific HIPAA requirements.,High,P1,Conduct a formal HIPAA Security Rule evaluation assessing the extent to which current policies and procedures meet regulatory requirements. Repeat annually.,No,Compliance,2026-10-01
SR-025,Partially Implemented,Business associate agreements (BAAs) are in place for major vendors but the BAA inventory is incomplete. Several vendors with potential ePHI access lack executed BAAs.,Critical,P1,Conduct a full vendor inventory to identify all business associates. Execute BAAs with all business associates and establish a BAA renewal tracking process.,Yes,Legal / Compliance,2026-08-01
SR-026,Implemented,Physical access to data center and server rooms is controlled via badge access. Visitor logs are maintained. Facilities are monitored by CCTV.,Low,P3,Review badge access logs quarterly. Confirm server room access list is current and limited to authorized personnel.,Yes,Facilities / IT,2026-12-01
SR-027,Implemented,Facility access procedures for disaster recovery scenarios are documented in the contingency plan.,Low,P3,Confirm contingency access procedures are tested as part of annual DR exercise.,Yes,IT / Facilities,2026-12-01
SR-028,Implemented,A facility security plan is in place covering physical security controls for facilities that house ePHI systems.,Low,P3,Review and update facility security plan annually.,Yes,Facilities,2026-12-01
SR-029,Partially Implemented,Workstation use policies exist but are not consistently enforced. Remote work guidelines for ePHI access are informal.,Medium,P2,Update workstation use policy to address remote work scenarios. Enforce clean desk policy and screen lock requirements.,Yes,IT / Compliance,2026-09-15
SR-030,Implemented,Physical workstation security controls are in place including screen privacy filters cable locks and clean desk enforcement.,Low,P3,Conduct annual physical security walkthrough to confirm controls are in place.,Yes,IT / Facilities,2026-12-01
SR-031,Partially Implemented,Device and media control policies exist but media disposal procedures are not consistently followed. No formal media tracking log is maintained.,High,P1,Implement a device and media tracking log. Enforce documented secure disposal procedures for all media containing ePHI including certificates of destruction.,Yes,IT,2026-09-01
SR-032,Partially Implemented,Disposal procedures reference data wiping but do not specify approved methods or require documentation of disposal for ePHI-containing media.,Medium,P2,Update disposal procedures to specify NIST SP 800-88 compliant methods. Require certificates of destruction for all physical media disposal.,No,IT,2026-10-01
SR-033,Partially Implemented,Access controls are implemented on primary ePHI systems but several legacy systems lack role-based access control or rely on shared accounts.,High,P1,Remediate shared accounts on legacy systems. Implement role-based access control across all ePHI systems. Document access control configurations.,Yes,IT / Security,2026-08-15
SR-034,Partially Implemented,Unique user IDs are enforced on most systems but one legacy application uses a shared service account for multiple users.,High,P1,Eliminate shared accounts used by multiple individuals. Assign unique user IDs to all individuals with ePHI access. Remediate legacy system within 90 days.,Yes,IT,2026-08-01
SR-035,Implemented,Emergency access procedures are documented and tested. Break-glass accounts are maintained for critical ePHI systems.,Low,P3,Review emergency access accounts quarterly. Confirm access is logged and alerts are triggered on use.,Yes,IT / Security,2026-12-01
SR-036,Implemented,Automatic screen lock is enforced via group policy after 10 minutes of inactivity on all managed devices.,Low,P3,Confirm auto-logoff is also enforced on web-based ePHI applications.,Yes,IT,2026-12-01
SR-037,Implemented,ePHI at rest is encrypted using AES-256 via storage-layer encryption on all primary systems.,Low,P3,Confirm encryption coverage extends to backup media and portable storage devices.,Yes,Security / IT,2026-12-01
SR-038,Partially Implemented,Audit logging is enabled on primary ePHI systems but logs are not reviewed on a consistent schedule. Log retention policy is undefined.,High,P1,Define log retention policy (minimum 6 years for HIPAA). Implement formal log review procedures. Centralize logs in a SIEM or log management platform.,Yes,Security / IT,2026-08-15
SR-039,Partially Implemented,Integrity controls are in place for ePHI at rest but no mechanism exists to detect unauthorized alteration of ePHI in transit or in application layers.,Medium,P2,Implement file integrity monitoring for ePHI repositories. Add checksum validation for ePHI data transfers.,Yes,Security / IT,2026-10-01
SR-040,Partially Implemented,Password-based authentication is in place for most ePHI systems. MFA is not consistently enforced across all systems with ePHI access.,High,P1,Enforce MFA for all workforce members and systems accessing ePHI. Prioritize internet-facing systems and those with high ePHI data volumes.,Yes,IT / Security,2026-08-01
SR-041,Implemented,TLS 1.2 or higher is enforced for all ePHI transmitted over networks. Unencrypted protocols are disabled.,Low,P3,Conduct annual TLS configuration review. Confirm TLS 1.0 and 1.1 are disabled across all systems.,Yes,Security / IT,2026-12-01
SR-042,Implemented,ePHI in transit is encrypted using TLS. VPN is required for remote access to internal ePHI systems.,Low,P3,Confirm VPN split tunneling is disabled for sessions involving ePHI access.,Yes,Security / IT,2026-12-01
PR-001,Implemented,Notice of Privacy Practices (NPP) is posted on the website and provided to patients at first service. NPP is reviewed annually.,Low,P3,Confirm NPP is updated following any material change to privacy practices. Retain acknowledgment records.,Yes,Privacy / Legal,2026-12-01
PR-002,Partially Implemented,A process for individual right of access requests exists but response time tracking is inconsistent. One request exceeded the 30-day response window in the past 12 months.,High,P1,Implement a tracking system for all right of access requests with automated reminders at day 20 and day 28. Document all responses and timelines.,Yes,Privacy,2026-08-15
PR-003,Partially Implemented,An amendment request process is documented but has not been tested and staff are unfamiliar with the procedure.,Medium,P2,Conduct staff training on amendment request handling. Test the process with a mock request. Document outcomes.,Yes,Privacy,2026-10-01
PR-004,Not Implemented,No formal process exists for providing accounting of disclosures. Disclosure tracking is inconsistent and no system is in place to fulfill requests within 60 days.,Critical,P1,Implement a disclosure tracking log for all disclosures that require accounting. Develop a procedure for fulfilling accounting requests within 60 days.,No,Privacy / Compliance,2026-08-01
PR-005,Partially Implemented,Minimum necessary policies are documented but implementation is inconsistent. Some workflows share more PHI than necessary with downstream systems.,High,P1,Audit PHI data flows to identify over-sharing. Update integration specifications to limit PHI fields to those necessary. Document minimum necessary determinations.,Yes,Privacy / Engineering,2026-09-01
PR-006,Partially Implemented,De-identification procedures are referenced in policy but not formally documented. Expert determination method is used informally without documentation.,Medium,P2,Document the de-identification methodology used (safe harbor or expert determination). Retain documentation of expert determinations.,No,Privacy,2026-10-01
PR-007,Partially Implemented,General security training is conducted annually but HIPAA-specific privacy training is not included. Role-specific training for high-PHI-access roles is absent.,High,P1,Develop HIPAA privacy training covering minimum necessary PHI handling individual rights and breach reporting. Deliver role-specific training for clinical and billing staff.,Yes,HR / Privacy,2026-09-01
PR-008,Implemented,Administrative technical and physical safeguards are in place to protect the privacy of PHI as documented in the privacy and security program.,Low,P3,Review safeguard effectiveness annually as part of the HIPAA risk analysis.,Yes,Privacy / Security,2026-12-01
PR-009,Implemented,A formal complaint process is documented and communicated to individuals in the Notice of Privacy Practices. Complaints are tracked and responded to.,Low,P3,Review complaint log quarterly. Report complaint trends to Privacy Officer.,Yes,Privacy,2026-12-01
PR-010,Partially Implemented,A sanction policy for privacy violations is referenced in the employee handbook but sanctions have not been consistently applied for documented privacy violations.,Medium,P2,Apply sanctions consistently for all documented privacy violations. Maintain a sanction log. Review sanction policy annually.,Yes,HR / Privacy,2026-10-01
PR-011,Partially Implemented,Privacy policies are documented but version control is inconsistent and the six-year retention requirement is not formally tracked.,Medium,P2,Implement a document management system for privacy policies with version control and retention tracking. Confirm six-year retention is enforced.,Yes,Privacy / Compliance,2026-10-01
PR-012,Partially Implemented,BAAs are in place for primary business associates but the inventory is incomplete. The review and renewal process is not formalized.,High,P1,Inventory all business associates with PHI access. Confirm BAAs are executed and current. Establish a BAA renewal calendar.,Yes,Legal / Privacy,2026-08-15
PR-013,Not Implemented,Minimum necessary policies and procedures for limiting internal access and disclosure are not formally documented beyond general policy statements.,High,P1,Develop role-specific minimum necessary access standards for all positions that access PHI. Document and train on determination criteria.,No,Privacy,2026-09-01
PR-014,Partially Implemented,Policies for uses and disclosures requiring opportunity to agree or object are documented but staff training on these scenarios is limited.,Medium,P2,Develop scenario-based training for staff on when patient agreement or objection is required. Include in annual HIPAA training.,Yes,Privacy,2026-10-01
PR-015,Implemented,A designated Privacy Officer is appointed with documented responsibilities. Contact information is published in the Notice of Privacy Practices.,Low,P3,Confirm Privacy Officer role is current. Conduct annual review of Privacy Officer responsibilities.,Yes,Privacy Officer,2026-12-01
